scenario,iteration,model,precision,context,fragmentation,decay_applied
E1,89,HyperGraph,1.0,1.0,0.0,0.8590909412173794
E1,90,BinaryGraph,1.0,1.0,0.0,0.8547116375424735
E1,90,HyperGraph,1.0,1.0,0.0,0.8547116375424735
E1,91,BinaryGraph,1.0,1.0,0.0,0.8609649130350658
E1,91,HyperGraph,1.0,1.0,0.0,0.8609649130350658
E1,92,BinaryGraph,1.0,1.0,0.0,0.912744604170309
E1,92,HyperGraph,1.0,1.0,0.0,0.912744604170309
E1,93,BinaryGraph,1.0,1.0,0.0,0.9292079364362964
E1,93,HyperGraph,1.0,1.0,0.0,0.9292079364362964
E1,94,BinaryGraph,1.0,1.0,0.0,0.8922159966799683
E1,94,HyperGraph,1.0,1.0,0.0,0.8922159966799683
E1,95,BinaryGraph,1.0,1.0,0.0,0.8563527706151957
E1,95,HyperGraph,1.0,1.0,0.0,0.8563527706151957
E1,96,BinaryGraph,1.0,1.0,0.0,0.8881619286506537
E1,96,HyperGraph,1.0,1.0,0.0,0.8881619286506537
E1,97,BinaryGraph,1.0,1.0,0.0,0.9496121380240097
E1,97,HyperGraph,1.0,1.0,0.0,0.9496121380240097
E1,98,BinaryGraph,1.0,1.0,0.0,0.9029114345099136
E1,98,HyperGraph,1.0,1.0,0.0,0.9029114345099136
E1,99,BinaryGraph,1.0,1.0,0.0,0.9471078377613618
E1,99,HyperGraph,1.0,1.0,0.0,0.9471078377613618
E1,100,BinaryGraph,1.0,1.0,0.0,0.9360779702234497
E1,100,HyperGraph,1.0,1.0,0.0,0.9360779702234497
E2,1,BinaryGraph,0.3333333333333333,0.0,1.0,0.8511481021942819
E2,1,HyperGraph,1.0,1.0,0.0,0.8511481021942819
E2,2,BinaryGraph,0.3333333333333333,0.0,1.0,0.9220721819360194
E2,2,HyperGraph,1.0,1.0,0.0,0.9220721819360194
E2,3,BinaryGraph,0.3333333333333333,0.0,1.0,0.9181710369026574
E2,3,HyperGraph,1.0,1.0,0.0,0.9181710369026574
E2,4,BinaryGraph,0.3333333333333333,0.0,1.0,0.9036970330408794
E2,4,HyperGraph,1.0,1.0,0.0,0.9036970330408794
E2,5,BinaryGraph,0.3333333333333333,0.0,1.0,0.8766825189952543
E2,5,HyperGraph,1.0,1.0,0.0,0.8766825189952543
E2,6,BinaryGraph,0.3333333333333333,0.0,1.0,0.9140961798579808
E2,6,HyperGraph,1.0,1.0,0.0,0.9140961798579808
E2,7,BinaryGraph,0.3333333333333333,0.0,1.0,0.8611552173595877
E2,7,HyperGraph,1.0,1.0,0.0,0.8611552173595877
E2,8,BinaryGraph,0.3333333333333333,0.0,1.0,0.8934765250669104
E2,8,HyperGraph,1.0,1.0,0.0,0.8934765250669104
E2,9,BinaryGraph,0.3333333333333333,0.0,1.0,0.8953723706329206
E2,9,HyperGraph,1.0,1.0,0.0,0.8953723706329206
E2,10,BinaryGraph,0.3333333333333333,0.0,1.0,0.945381592752108
E2,10,HyperGraph,1.0,1.0,0.0,0.945381592752108
E2,11,BinaryGraph,0.3333333333333333,0.0,1.0,0.9375852940378193
E2,11,HyperGraph,1.0,1.0,0.0,0.9375852940378193
E2,12,BinaryGraph,0.3333333333333333,0.0,1.0,0.876338905075109
E2,12,HyperGraph,1.0,1.0,0.0,0.876338905075109
E2,13,BinaryGraph,0.3333333333333333,0.0,1.0,0.9000586113050298
E2,13,HyperGraph,1.0,1.0,0.0,0.9000586113050298
E2,14,BinaryGraph,0.3333333333333333,0.0,1.0,0.8678651880530132
E2,14,HyperGraph,1.0,1.0,0.0,0.8678651880530132
E2,15,BinaryGraph,0.3333333333333333,0.0,1.0,0.941262783934482
